0,1,2,3,4,5,6,7,8,9
CSE201 1st Year B_Tech Cyber Security ,CSE101 1st Year B_Tech IoT Section B ,Break,CSE201 1st Year B_Tech Cyber Security ,,Lunch,CSE102 1st Year B_Tech AIDS Section A CSELAB12 ,CSE102 1st Year B_Tech AIDS Section A CSELAB12 ,Break,CSE102 1st Year B_Tech AIDS Section A CSELAB12 
Proff7
,PHY102 T 1st Year B_Tech AIDS Section B ,Break,,,Lunch,,,Break,PHY102 T 1st Year B_Tech AIDS Section A 
,,Break,,,Lunch,,,Break,
,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,Lunch,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 
,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section B PHYLAB1 ,Lunch,,,Break,
,,Break,,,Lunch,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section A PHYLAB1 
Proff8
,,Break,,MTH101 1st Year B_Tech AIDS Section B ,Lunch,,,Break,
,,Break,,MTH101 1st Year B_Tech IoT Section B ,Lunch,,,Break,
,,Break,,MTH101 1st Year B_Tech AIDS Section C ,Lunch,,,Break,
MTH101 1st Year B_Tech IoT Section B ,,Break,MTH101 1st Year B_Tech IoT Section B ,,Lunch,MTH101 1st Year B_Tech AIDS Section C ,,Break,
MTH101 1st Year B_Tech AIDS Section C ,MTH101 1st Year B_Tech AIDS Section C ,Break,,MTH101 1st Year B_Tech AIDS Section B ,Lunch,MTH101 1st Year B_Tech AIDS Section B ,MTH101 1st Year B_Tech AIDS Section B ,Break,
Proff9
CSE102 1st Year B_Tech AIDS Section C CSELAB11 ,CSE102 1st Year B_Tech AIDS Section C CSELAB11 ,Break,CSE102 1st Year B_Tech AIDS Section C CSELAB11 ,,Lunch,CSE101 1st Year B_Tech AIDS Section B ,,Break,PHY103 1st Year B_Tech IoT Section A 
CSE101 1st Year B_Tech AIDS Section C ,CSE102 1st Year B_Tech AIDS Section C CSELAB17 ,Break,CSE102 1st Year B_Tech AIDS Section C CSELAB17 ,CSE102 1st Year B_Tech AIDS Section C CSELAB17 ,Lunch,,,Break,
CSE101 1st Year B_Tech AIDS Section B ,CSE102 1st Year B_Tech AIDS Section B CSELAB19 ,Break,CSE102 1st Year B_Tech AIDS Section B CSELAB19 ,CSE102 1st Year B_Tech AIDS Section B CSELAB19 ,Lunch,PHY103 1st Year B_Tech IoT Section A ,,Break,
CSE101 1st Year B_Tech AIDS Section B ,CSE102 1st Year B_Tech AIDS Section B CSELAB8 ,Break,CSE102 1st Year B_Tech AIDS Section B CSELAB8 ,CSE102 1st Year B_Tech AIDS Section B CSELAB8 ,Lunch,PHY103 1st Year B_Tech IoT Section B ,,Break,PHY103 1st Year B_Tech IoT Section A 
,CSE102 T 1st Year B_Tech AIDS Section B ,Break,PHY103 1st Year B_Tech IoT Section B ,PHY103 1st Year B_Tech IoT Section B ,Lunch,CSE101 1st Year B_Tech AIDS Section C ,CSE102 T 1st Year B_Tech AIDS Section C ,Break,CSE101 1st Year B_Tech AIDS Section C 
Proff10
,,Break,,ENG101 1st Year B_Tech AIDS Section C ,Lunch,,,Break,
,ENG101 1st Year B_Tech IoT Section A ,Break,,,Lunch,,,Break,ENG101 1st Year B_Tech IoT Section B 
ENG101 1st Year B_Tech AIDS Section C ,ENG101 1st Year B_Tech IoT Section A ,Break,,,Lunch,,,Break,
,,Break,,,Lunch,,,Break,
ENG101 1st Year B_Tech IoT Section A ,,Break,ENG101 1st Year B_Tech AIDS Section C ,,Lunch,,ENG101 1st Year B_Tech IoT Section B ,Break,ENG101 1st Year B_Tech IoT Section B 
Proff11
,,Break,,,Lunch,,,Break,
,,Break,,MTH101 1st Year B_Tech IoT Section A ,Lunch,,,Break,MTH101 1st Year B_Tech IoT Section A 
MTH101 1st Year B_Tech IoT Section A ,,Break,,,Lunch,,,Break,
,,Break,,,Lunch,,,Break,
,,Break,,,Lunch,,,Break,
Proff12
ECE101 T 1st Year B_Tech Cyber Security ,,Break,ECE101 T 1st Year B_Tech Cyber Security ,,Lunch,,,Break,
ECE101 1st Year B_Tech Cyber Security ECELAB1 ,ECE101 1st Year B_Tech Cyber Security ECELAB1 ,Break,,,Lunch,CSE102 T 1st Year B_Tech IoT Section A ,,Break,
,,Break,,,Lunch,,,Break,
,CSE101 1st Year B_Tech IoT Section A ,Break,,CSE101 1st Year B_Tech IoT Section A ,Lunch,,,Break,
,,Break,CSE101 1st Year B_Tech IoT Section A ,,Lunch,CSE102 1st Year B_Tech IoT Section A CSELAB5 CSELAB8 ,CSE102 1st Year B_Tech IoT Section A CSELAB5 CSELAB8 ,Break,CSE102 1st Year B_Tech IoT Section A CSELAB5 CSELAB8 
Proff13
ECE104 1st Year B_Tech IoT Section A ECELAB1 ,ECE104 1st Year B_Tech IoT Section A ECELAB1 ,Break,ECE104 1st Year B_Tech IoT Section A ECELAB1 ,,Lunch,ECE104 1st Year B_Tech IoT Section B ECELAB1 ,ECE104 1st Year B_Tech IoT Section B ECELAB1 ,Break,ECE104 1st Year B_Tech IoT Section B ECELAB1 
ECE104 T 1st Year B_Tech IoT Section B ,,Break,ECE104 T 1st Year B_Tech IoT Section A ,,Lunch,,,Break,
,,Break,,ECE103 1st Year B_Tech IoT Section B ,Lunch,ECE103 1st Year B_Tech IoT Section B ,,Break,ECE103 1st Year B_Tech IoT Section A 
ECE103 1st Year B_Tech IoT Section A ,,Break,,,Lunch,ECE103 1st Year B_Tech IoT Section A ,,Break,
ECE103 1st Year B_Tech IoT Section B ,,Break,,,Lunch,,,Break,
Proff14
PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,PHY102 T 1st Year B_Tech Cyber Security ,Lunch,PHY102 1st Year B_Tech Cyber Security PHYLAB1 ,PHY102 1st Year B_Tech Cyber Security PHYLAB1 ,Break,PHY102 1st Year B_Tech Cyber Security PHYLAB1 
,PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,Break,PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,PHY102 1st Year B_Tech AIDS Section C PHYLAB1 ,Lunch,PHY102 1st Year B_Tech Cyber Security PHYLAB1 ,PHY102 1st Year B_Tech Cyber Security PHYLAB1 ,Break,PHY102 1st Year B_Tech Cyber Security PHYLAB1 
PHY101 1st Year B_Tech Cyber Security ,PHY101 1st Year B_Tech Cyber Security ,Break,PHY102 T 1st Year B_Tech AIDS Section C ,,Lunch,,,Break,
PHY101 1st Year B_Tech AIDS Section C ,,Break,,PHY101 1st Year B_Tech Cyber Security ,Lunch,,PHY101 1st Year B_Tech AIDS Section C ,Break,PHY101 1st Year B_Tech AIDS Section C 
,,Break,,,Lunch,,,Break,
Proff15
,,,Break,MTH201 2nd Year B_Tech IoT Section B ,,Lunch,MTH201 2nd Year B_Tech IoT Section B ,Break,
,,,Break,,,Lunch,MTH201 2nd Year B_Tech IoT Section B ,Break,
,,,Break,,MTH201 2nd Year B_Tech AIDS Section A ,Lunch,,Break,
,,,Break,,,Lunch,,Break,
MTH201 2nd Year B_Tech IoT Section B ,,MTH201 2nd Year B_Tech AIDS Section A ,Break,,,Lunch,MTH201 2nd Year B_Tech AIDS Section A ,Break,MTH201 2nd Year B_Tech AIDS Section A 
Proff16
CSE202 2nd Year B_Tech AIDS Section B ,CSE202 2nd Year B_Tech AIDS Section C ,,Break,CSE206 T 2nd Year B_Tech AIDS Section A ,,Lunch,CSE202 2nd Year B_Tech AIDS Section B ,Break,
CSE206 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB19 ,CSE206 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB19 ,CSE206 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB19 ,Break,CSE202 2nd Year B_Tech AIDS Section B ,,Lunch,CSE202 2nd Year B_Tech AIDS Section A ,Break,
,CSE206 T 2nd Year B_Tech AIDS Section B ,CSE206 2nd Year B_Tech AIDS Section B CSELAB15 CSELAB6 ,Break,CSE206 2nd Year B_Tech AIDS Section B CSELAB15 CSELAB6 ,CSE206 2nd Year B_Tech AIDS Section B CSELAB15 CSELAB6 ,Lunch,,Break,
CSE206 2nd Year B_Tech AIDS Section A CSELAB1 CSELAB9 ,CSE206 2nd Year B_Tech AIDS Section A CSELAB1 CSELAB9 ,CSE206 2nd Year B_Tech AIDS Section A CSELAB1 CSELAB9 ,Break,,,Lunch,,Break,
CSE206 T 2nd Year B_Tech AIDS Section C ,CSE202 2nd Year B_Tech AIDS Section C ,,Break,CSE202 2nd Year B_Tech AIDS Section A ,CSE202 2nd Year B_Tech AIDS Section A ,Lunch,CSE202 2nd Year B_Tech AIDS Section C ,Break,
Proff17
,,,Break,,CSE204 2nd Year B_Tech AIDS Section A ,Lunch,,Break,
,,,Break,,CSE204 2nd Year B_Tech AIDS Section B ,Lunch,,Break,
CSE204 2nd Year B_Tech AIDS Section C ,,,Break,CSE204 2nd Year B_Tech AIDS Section C ,,Lunch,,Break,
,,,Break,,CSE204 2nd Year B_Tech AIDS Section B ,Lunch,CSE204 2nd Year B_Tech AIDS Section B ,Break,CSE204 2nd Year B_Tech AIDS Section A 
,CSE204 2nd Year B_Tech AIDS Section A ,,Break,CSE204 2nd Year B_Tech AIDS Section C ,,Lunch,,Break,
Proff18
,CSE207 2nd Year B_Tech AIDS Section B CSELAB3 CSELAB9 ,CSE207 2nd Year B_Tech AIDS Section B CSELAB3 CSELAB9 ,Break,CSE207 2nd Year B_Tech AIDS Section B CSELAB3 CSELAB9 ,,Lunch,,Break,
,,,Break,,,Lunch,,Break,CSE205 2nd Year B_Tech AIDS Section A 
CSE207 2nd Year B_Tech AIDS Section A CSELAB11 CSELAB9 ,CSE207 2nd Year B_Tech AIDS Section A CSELAB11 CSELAB9 ,CSE207 2nd Year B_Tech AIDS Section A CSELAB11 CSELAB9 ,Break,,,Lunch,,Break,CSE205 2nd Year B_Tech AIDS Section B 
,CSE205 2nd Year B_Tech AIDS Section C ,CSE207 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB11 ,Break,CSE207 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB11 ,CSE207 2nd Year B_Tech AIDS Section C CSELAB10 CSELAB11 ,Lunch,CSE207 T 2nd Year B_Tech AIDS Section A ,Break,CSE205 2nd Year B_Tech AIDS Section B 
CSE205 2nd Year B_Tech AIDS Section A ,CSE207 T 2nd Year B_Tech AIDS Section B ,CSE207 T 2nd Year B_Tech AIDS Section C ,Break,,CSE205 2nd Year B_Tech AIDS Section C ,Lunch,,Break,
Proff19
PSY201 2nd Year B_Tech AIDS Section C ,,,Break,PSY201 2nd Year B_Tech AIDS Section C ,,Lunch,,Break,PSY201 2nd Year B_Tech AIDS Section A 
,,,Break,,,Lunch,PSY201 2nd Year B_Tech Cyber Security ,Break,
PSY201 2nd Year B_Tech AIDS Section B ,,,Break,,,Lunch,,Break,
PSY201 2nd Year B_Tech AIDS Section B ,,,Break,PSY201 2nd Year B_Tech AIDS Section A ,,Lunch,,Break,
PSY201 2nd Year B_Tech Cyber Security ,,,Break,,,Lunch,,Break,
Proff20
MTH201 2nd Year B_Tech IoT Section A ,,,Break,,MTH201 2nd Year B_Tech AIDS Section C ,Lunch,,Break,MTH201 2nd Year B_Tech IoT Section A 
MTH201 2nd Year B_Tech AIDS Section B ,,,Break,MTH201 2nd Year B_Tech AIDS Section C ,,Lunch,,Break,
,,,Break,MTH201 2nd Year B_Tech IoT Section A ,,Lunch,MTH201 2nd Year B_Tech AIDS Section C ,Break,MTH201 2nd Year B_Tech AIDS Section C 
,,MTH201 2nd Year B_Tech IoT Section A ,Break,,,Lunch,,Break,
,,,Break,MTH201 2nd Year B_Tech AIDS Section B ,MTH201 2nd Year B_Tech AIDS Section B ,Lunch,MTH201 2nd Year B_Tech AIDS Section B ,Break,
Proff21
,,,Break,,CSE211 2nd Year B_Tech IoT Section B ,Lunch,CSE211 2nd Year B_Tech IoT Section A ,Break,CSE206 T 2nd Year B_Tech IoT Section B 
,,CSE206 2nd Year B_Tech IoT Section A CSELAB12 CSELAB15 ,Break,CSE206 2nd Year B_Tech IoT Section A CSELAB12 CSELAB15 ,CSE206 2nd Year B_Tech IoT Section A CSELAB12 CSELAB15 ,Lunch,,Break,
,,,Break,,,Lunch,CSE211 2nd Year B_Tech IoT Section B ,Break,CSE211 2nd Year B_Tech IoT Section B 
CSE206 T 2nd Year B_Tech IoT Section A ,,,Break,CSE211 2nd Year B_Tech IoT Section A ,,Lunch,,Break,
,,CSE206 2nd Year B_Tech IoT Section B CSELAB12 CSELAB17 ,Break,CSE206 2nd Year B_Tech IoT Section B CSELAB12 CSELAB17 ,CSE206 2nd Year B_Tech IoT Section B CSELAB12 CSELAB17 ,Lunch,CSE211 2nd Year B_Tech IoT Section A ,Break,
Proff22
,CSE206 2nd Year B_Tech Cyber Security CSELAB4 CSELAB18 ,CSE206 2nd Year B_Tech Cyber Security CSELAB4 CSELAB18 ,Break,CSE206 2nd Year B_Tech Cyber Security CSELAB4 CSELAB18 ,,Lunch,,Break,
,,,Break,CSE202 2nd Year B_Tech Cyber Security ,,Lunch,,Break,
,CSE202 2nd Year B_Tech IoT Section B ,CSE202 2nd Year B_Tech IoT Section B ,Break,,CSE206 T 2nd Year B_Tech Cyber Security ,Lunch,,Break,
CSE202 2nd Year B_Tech IoT Section B ,,,Break,,CSE202 2nd Year B_Tech IoT Section A ,Lunch,CSE202 2nd Year B_Tech Cyber Security ,Break,
CSE202 2nd Year B_Tech IoT Section A ,CSE202 2nd Year B_Tech IoT Section A ,,Break,,CSE202 2nd Year B_Tech Cyber Security ,Lunch,,Break,
Proff23
,,CSE210 T 2nd Year B_Tech IoT Section A ,Break,,,Lunch,,Break,
,CSE210 2nd Year B_Tech IoT Section B CSELAB4 CSELAB13 ,CSE210 2nd Year B_Tech IoT Section B CSELAB4 CSELAB13 ,Break,CSE210 2nd Year B_Tech IoT Section B CSELAB4 CSELAB13 ,,Lunch,,Break,
CSE210 2nd Year B_Tech IoT Section A CSELAB18 CSELAB8 ,CSE210 2nd Year B_Tech IoT Section A CSELAB18 CSELAB8 ,CSE210 2nd Year B_Tech IoT Section A CSELAB18 CSELAB8 ,Break,,,Lunch,,Break,
,,,Break,,CSE208 2nd Year B_Tech IoT Section B ,Lunch,CSE210 T 2nd Year B_Tech IoT Section B ,Break,
,CSE208 2nd Year B_Tech IoT Section B ,,Break,CSE208 2nd Year B_Tech IoT Section A ,CSE208 2nd Year B_Tech IoT Section A ,Lunch,CSE208 2nd Year B_Tech IoT Section B ,Break,CSE208 2nd Year B_Tech IoT Section A 
Proff24
,,,Break,,,Lunch,,Break,
,,,Break,,,Lunch,CSE212 2nd Year B_Tech IoT Section A ,Break,CSE212 2nd Year B_Tech IoT Section B 
,,,Break,,,Lunch,,Break,CSE212 2nd Year B_Tech IoT Section A 
,,,Break,CSE212 2nd Year B_Tech IoT Section B ,,Lunch,,Break,CSE212 2nd Year B_Tech IoT Section B 
,,CSE212 2nd Year B_Tech IoT Section A ,Break,,,Lunch,,Break,
Proff25
,,,Break,,,Lunch,,Break,
,,,Break,,,Lunch,,Break,MTH201 2nd Year B_Tech Cyber Security 
,,,Break,,,Lunch,,Break,MTH201 2nd Year B_Tech Cyber Security 
,MTH201 2nd Year B_Tech Cyber Security ,,Break,,,Lunch,,Break,
,,,Break,,,Lunch,,Break,
Proff26
,,,Break,,,Lunch,,Break,
,,,Break,,CSE203 T 2nd Year B_Tech Cyber Security ,Lunch,,Break,
,,,Break,,,Lunch,CSE203 T 2nd Year B_Tech Cyber Security ,Break,
,,,Break,CSE203 2nd Year B_Tech Cyber Security CSELAB14 CSELAB9 ,CSE203 2nd Year B_Tech Cyber Security CSELAB14 CSELAB9 ,Lunch,,Break,
,,,Break,,,Lunch,CSE203 T 2nd Year B_Tech Cyber Security ,Break,
Proff27
CSE210 T 2nd Year B_Tech Cyber Security ,,,Break,,CSE208 2nd Year B_Tech Cyber Security ,Lunch,,Break,CSE208 2nd Year B_Tech Cyber Security 
,,,Break,,,Lunch,,Break,
,,CSE208 2nd Year B_Tech Cyber Security ,Break,,,Lunch,,Break,
,,,Break,,,Lunch,,Break,
,CSE210 2nd Year B_Tech Cyber Security CSELAB16 CSELAB6 ,CSE210 2nd Year B_Tech Cyber Security CSELAB16 CSELAB6 ,Break,CSE210 2nd Year B_Tech Cyber Security CSELAB16 CSELAB6 ,,Lunch,,Break,
Proff28
,,,Break,,,Lunch,,Break,
,,,Break,,,Lunch,,Break,
,CSE209 2nd Year B_Tech Cyber Security ,,Break,CSE209 2nd Year B_Tech Cyber Security ,,Lunch,,Break,
,,,Break,,,Lunch,,Break,
,,,Break,,,Lunch,,Break,
Proff29
,MTH301 3rd Year B_Tech IoT Section A ,Break,,MTH301 3rd Year B_Tech AIDS Section B ,,Lunch,,Break,
MTH301 3rd Year B_Tech IoT Section B ,,Break,,,MTH301 3rd Year B_Tech AIDS Section B ,Lunch,MTH301 3rd Year B_Tech AIDS Section B ,Break,MTH301 3rd Year B_Tech AIDS Section A 
,,Break,,,MTH301 3rd Year B_Tech AIDS Section A ,Lunch,,Break,MTH301 3rd Year B_Tech IoT Section A 
,,Break,,,MTH301 3rd Year B_Tech IoT Section B ,Lunch,,Break,MTH301 3rd Year B_Tech AIDS Section B 
MTH301 3rd Year B_Tech IoT Section A ,,MTH301 3rd Year B_Tech AIDS Section A ,Break,MTH301 3rd Year B_Tech AIDS Section A ,MTH301 3rd Year B_Tech IoT Section A ,Lunch,MTH301 3rd Year B_Tech IoT Section B ,Break,MTH301 3rd Year B_Tech IoT Section B 
Proff30
,,CSE301 3rd Year B_Tech AIDS Section B ,Break,,,Lunch,CSE301 3rd Year B_Tech AIDS Section B ,Break,CSE301 3rd Year B_Tech AIDS Section B 
CSE301 3rd Year B_Tech AIDS Section A ,,CSE306 3rd Year B_Tech AIDS Section A CSELAB11 CSELAB14 ,Break,CSE306 3rd Year B_Tech AIDS Section A CSELAB11 CSELAB14 ,CSE306 3rd Year B_Tech AIDS Section A CSELAB11 CSELAB14 ,Lunch,,Break,CSE306 T 3rd Year B_Tech AIDS Section B 
,,Break,,,,Lunch,CSE301 3rd Year B_Tech AIDS Section A ,Break,
,,Break,,CSE301 3rd Year B_Tech AIDS Section A ,,Lunch,CSE306 T 3rd Year B_Tech AIDS Section A ,Break,
CSE306 3rd Year B_Tech AIDS Section B CSELAB18 CSELAB5 ,CSE306 3rd Year B_Tech AIDS Section B CSELAB18 CSELAB5 ,CSE306 3rd Year B_Tech AIDS Section B CSELAB18 CSELAB5 ,Break,,,Lunch,,Break,
Proff31
,CSE302 T 3rd Year B_Tech AIDS Section B ,Break,,,,Lunch,CSE302 3rd Year B_Tech AIDS Section A CSELAB1 CSELAB18 ,Break,CSE302 3rd Year B_Tech AIDS Section A CSELAB1 CSELAB18 
,,Break,,,,Lunch,,Break,
CSE302 3rd Year B_Tech AIDS Section B CSELAB14 CSELAB13 ,CSE302 3rd Year B_Tech AIDS Section B CSELAB14 CSELAB13 ,Break,,CSE302 T 3rd Year B_Tech AIDS Section A ,,Lunch,CSE302 T 3rd Year B_Tech AIDS Section B ,Break,CSE302 T 3rd Year B_Tech AIDS Section A 
CSE302 T 3rd Year B_Tech AIDS Section A ,,Break,,,,Lunch,,Break,
,,Break,,CSE302 T 3rd Year B_Tech AIDS Section B ,,Lunch,,Break,
Proff32
CSE303 3rd Year B_Tech AIDS Section B ,,Break,,,CSE303 3rd Year B_Tech AIDS Section B ,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,CSE303 3rd Year B_Tech AIDS Section B 
,,CSE303 3rd Year B_Tech AIDS Section A ,Break,,,Lunch,,Break,
,,Break,,,,Lunch,CSE303 3rd Year B_Tech AIDS Section A ,Break,CSE303 3rd Year B_Tech AIDS Section A 
Proff33
,,CSE307 3rd Year B_Tech AIDS Section A CSELAB12 CSELAB15 ,Break,CSE307 3rd Year B_Tech AIDS Section A CSELAB12 CSELAB15 ,CSE307 3rd Year B_Tech AIDS Section A CSELAB12 CSELAB15 ,Lunch,,Break,
CSE307 3rd Year B_Tech AIDS Section B CSELAB9 CSELAB3 ,CSE307 3rd Year B_Tech AIDS Section B CSELAB9 CSELAB3 ,CSE307 3rd Year B_Tech AIDS Section B CSELAB9 CSELAB3 ,Break,,,Lunch,,Break,
CSE304 3rd Year B_Tech AIDS Section A ,,CSE307 T 3rd Year B_Tech AIDS Section A ,Break,,CSE304 3rd Year B_Tech AIDS Section B ,Lunch,,Break,
,,CSE304 3rd Year B_Tech AIDS Section B ,Break,CSE307 T 3rd Year B_Tech AIDS Section B ,,Lunch,,Break,
CSE304 3rd Year B_Tech AIDS Section A ,,Break,,,,Lunch,,Break,
Proff34
,,Break,,,,Lunch,,Break,PSY301 3rd Year B_Tech Cyber Security 
,,Break,,PSY301 3rd Year B_Tech AIDS Section B ,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
PSY301 3rd Year B_Tech AIDS Section B ,PSY301 3rd Year B_Tech AIDS Section A ,Break,,PSY301 3rd Year B_Tech Cyber Security ,,Lunch,,Break,PSY301 3rd Year B_Tech AIDS Section A 
,,Break,,,,Lunch,,Break,
Proff35
,,CSE306 3rd Year B_Tech IoT Section A CSELAB10 CSELAB17 ,Break,CSE306 3rd Year B_Tech IoT Section A CSELAB10 CSELAB17 ,CSE306 3rd Year B_Tech IoT Section A CSELAB10 CSELAB17 ,Lunch,,Break,
,,CSE306 T 3rd Year B_Tech IoT Section B ,Break,,,Lunch,,Break,CSE311 3rd Year B_Tech IoT Section B 
,,CSE311 3rd Year B_Tech IoT Section B ,Break,,CSE306 T 3rd Year B_Tech IoT Section A ,Lunch,CSE311 3rd Year B_Tech IoT Section B ,Break,
CSE311 3rd Year B_Tech IoT Section A ,,Break,,,,Lunch,,Break,
,CSE311 3rd Year B_Tech IoT Section A ,CSE306 3rd Year B_Tech IoT Section B CSELAB14 CSELAB10 ,Break,CSE306 3rd Year B_Tech IoT Section B CSELAB14 CSELAB10 ,CSE306 3rd Year B_Tech IoT Section B CSELAB14 CSELAB10 ,Lunch,CSE311 3rd Year B_Tech IoT Section A ,Break,
Proff36
CSE312 3rd Year B_Tech IoT Section B ,,Break,,,,Lunch,CSE312 3rd Year B_Tech Cyber Security ,Break,
CSE306 3rd Year B_Tech Cyber Security CSELAB1 CSELAB7 ,CSE306 3rd Year B_Tech Cyber Security CSELAB1 CSELAB7 ,CSE306 3rd Year B_Tech Cyber Security CSELAB1 CSELAB7 ,Break,CSE312 3rd Year B_Tech IoT Section A ,CSE312 3rd Year B_Tech IoT Section A ,Lunch,,Break,CSE312 3rd Year B_Tech IoT Section A 
,,Break,,,,Lunch,,Break,
CSE312 3rd Year B_Tech IoT Section B ,CSE306 T 3rd Year B_Tech Cyber Security ,CSE312 3rd Year B_Tech IoT Section B ,Break,,,Lunch,,Break,CSE312 3rd Year B_Tech Cyber Security 
,CSE312 3rd Year B_Tech Cyber Security ,Break,,,,Lunch,,Break,
Proff37
CSE310 T 3rd Year B_Tech IoT Section A ,,CSE310 3rd Year B_Tech IoT Section B CSELAB1 CSELAB13 ,Break,CSE310 3rd Year B_Tech IoT Section B CSELAB1 CSELAB13 ,CSE310 3rd Year B_Tech IoT Section B CSELAB1 CSELAB13 ,Lunch,,Break,
,CSE310 T 3rd Year B_Tech IoT Section B ,Break,,,,Lunch,,Break,
,,Break,,CSE308 3rd Year B_Tech IoT Section B ,,Lunch,CSE308 3rd Year B_Tech IoT Section A ,Break,
,CSE310 3rd Year B_Tech IoT Section A CSELAB16 CSELAB5 ,CSE310 3rd Year B_Tech IoT Section A CSELAB16 CSELAB5 ,Break,CSE310 3rd Year B_Tech IoT Section A CSELAB16 CSELAB5 ,,Lunch,,Break,CSE308 3rd Year B_Tech IoT Section B 
CSE308 3rd Year B_Tech IoT Section B ,,CSE308 3rd Year B_Tech IoT Section A ,Break,CSE308 3rd Year B_Tech IoT Section A ,,Lunch,,Break,
Proff38
,,Break,,,,Lunch,CSE313 3rd Year B_Tech IoT Section A ,Break,
,,Break,,,,Lunch,CSE313 3rd Year B_Tech IoT Section A ,Break,
,,CSE313 3rd Year B_Tech IoT Section A ,Break,,CSE313 3rd Year B_Tech IoT Section B ,Lunch,,Break,
,,Break,,CSE313 3rd Year B_Tech IoT Section B ,,Lunch,CSE313 3rd Year B_Tech IoT Section B ,Break,
,,Break,,,,Lunch,,Break,
Proff39
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,MTH301 3rd Year B_Tech Cyber Security ,Break,
,,Break,,,,Lunch,MTH301 3rd Year B_Tech Cyber Security ,Break,MTH301 3rd Year B_Tech Cyber Security 
Proff40
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,CSE308 3rd Year B_Tech Cyber Security ,Break,CSE308 3rd Year B_Tech Cyber Security 
CSE310 3rd Year B_Tech Cyber Security CSELAB16 CSELAB1 ,CSE310 3rd Year B_Tech Cyber Security CSELAB16 CSELAB1 ,CSE310 3rd Year B_Tech Cyber Security CSELAB16 CSELAB1 ,Break,,,Lunch,,Break,
CSE308 3rd Year B_Tech Cyber Security ,,Break,,,,Lunch,,Break,
,,Break,,,CSE310 T 3rd Year B_Tech Cyber Security ,Lunch,,Break,
Proff41
,,Break,,CSE303 3rd Year B_Tech Cyber Security CSELAB16 CSELAB6 ,CSE303 3rd Year B_Tech Cyber Security CSELAB16 CSELAB6 ,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,CSE303 T 3rd Year B_Tech Cyber Security ,Break,
,,Break,,,,Lunch,,Break,
,,CSE303 T 3rd Year B_Tech Cyber Security ,Break,CSE303 T 3rd Year B_Tech Cyber Security ,,Lunch,,Break,
Proff42
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,,Lunch,,Break,
,,Break,,,CSE309 3rd Year B_Tech Cyber Security ,Lunch,,Break,
CSE309 3rd Year B_Tech Cyber Security ,,Break,,,,Lunch,,Break,
Proff43
,,Break,,MTH401 4th Year B_Tech IoT Section B ,MTH401 4th Year B_Tech IoT Section B ,Lunch,,Break,
,,Break,,MTH401 4th Year B_Tech IoT Section A ,,Lunch,,Break,MTH401 4th Year B_Tech IoT Section A 
,MTH401 4th Year B_Tech IoT Section B ,Break,,,MTH401 4th Year B_Tech IoT Section A ,Lunch,,Break,
,MTH401 4th Year B_Tech IoT Section A ,Break,,,MTH401 4th Year B_Tech AIDS Section B ,Lunch,MTH401 4th Year B_Tech IoT Section B ,Break,MTH401 4th Year B_Tech AIDS Section A 
MTH401 4th Year B_Tech AIDS Section A ,MTH401 4th Year B_Tech AIDS Section A ,MTH401 4th Year B_Tech AIDS Section B ,Break,,MTH401 4th Year B_Tech AIDS Section B ,Lunch,MTH401 4th Year B_Tech AIDS Section A ,Break,MTH401 4th Year B_Tech AIDS Section B 
Proff44
,,Break,,,,Lunch,,Break,CSE401 4th Year B_Tech AIDS Section B 
